Genus	Gene	ARO	BAL_En	BAL_Kl	DEN_Es	DEN_Kl	NYC_En	NYC_Es	NYC_Kl	SAC_En	SAN_En	SAN_Es
Enterobacter	ACT-1	3001821	0	0	0	0	1	0	0	0	0	0
Enterobacter	ACT-21	3001842	0	0	0	0	1	0	0	0	0	0
Enterobacter	ACT-73	3006267	0	0	0	0	0	0	0	1	0	0
Enterobacter	ACT-74	3006268	0	0	0	0	1	0	0	0	0	0
Enterobacter	ACT-8	3001831	0	0	0	0	1	0	0	0	0	0
Enterobacter	AcrF	3000502	1	0	0	0	1	0	0	0	0	0
Enterobacter	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	0	0	0	0	1	1	1	0	0	0
Enterobacter	CRP	3000518	0	0	0	0	1	0	0	0	0	0
Enterobacter	Clostridioides difficile gyrA conferring resistance to fluoroquinolones	3003995	0	0	0	0	1	0	0	0	0	0
Enterobacter	Clostridioides difficile gyrB conferring resistance to fluoroquinolones	3004562	0	0	0	0	1	0	0	0	0	0
Enterobacter	Enterobacter cloacae acrA	3004042	0	0	0	0	1	0	0	0	0	0
Enterobacter	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	3003369	0	1	0	0	1	0	0	0	0	0
Enterobacter	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	3003890	0	0	0	0	1	0	0	0	0	0
Enterobacter	Escherichia coli marR mutant conferring antibiotic resistance	3003378	0	0	0	0	1	0	0	0	0	0
Enterobacter	Escherichia coli mdfA	3001328	0	0	0	0	1	0	0	0	0	0
Enterobacter	Escherichia coli soxS with mutation conferring antibiotic resistance	3003511	0	0	0	0	1	0	0	0	0	0
Enterobacter	FosA2	3002804	0	0	0	0	1	0	0	0	0	0
Enterobacter	H-NS	3000676	0	0	0	0	1	0	0	0	0	0
Enterobacter	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	3004446	0	0	0	0	1	0	0	0	0	0
Enterobacter	Klebsiella pneumoniae KpnE	3004580	0	0	0	0	1	0	0	0	0	0
Enterobacter	Klebsiella pneumoniae KpnF	3004583	0	0	0	0	1	0	0	0	0	0
Enterobacter	Klebsiella pneumoniae KpnH	3004597	0	0	0	0	1	0	0	0	0	0
Enterobacter	MIR-2	3002168	0	0	0	0	1	0	0	0	0	0
Enterobacter	Mycobacterium tuberculosis rpoB mutants conferring resistance to rifampicin	3003283	0	0	0	0	1	0	0	0	0	0
Enterobacter	Neisseria gonorrhoeae PBP2 conferring resistance to beta-lactam antibiotics	3004832	0	0	0	0	1	0	0	0	0	0
Enterobacter	PmrF	3003578	0	0	0	0	1	0	0	0	0	0
Enterobacter	Staphylococcus aureus GlpT with mutation conferring resistance to fosfomycin	3003901	0	0	0	0	1	0	0	0	0	0
Enterobacter	Streptococcus pneumoniae PBP2x conferring resistance to amoxicillin	3003043	0	0	0	0	1	0	0	0	0	0
Enterobacter	acrB	3000216	1	0	0	0	1	0	0	0	0	0
Enterobacter	acrD	3000491	0	0	0	0	1	0	0	0	0	0
Enterobacter	adeF	3000777	0	0	0	0	1	0	0	0	0	0
Enterobacter	bacA	3002986	0	0	0	0	1	0	0	0	0	0
Enterobacter	baeR	3000828	0	0	0	0	1	0	0	0	0	0
Enterobacter	cpxA	3000830	0	0	0	0	1	0	0	0	0	0
Enterobacter	emrB	3000074	0	0	0	0	1	0	0	0	0	0
Enterobacter	emrR	3000516	0	1	0	0	1	0	0	0	0	0
Enterobacter	marA	3000263	0	0	0	0	1	0	0	0	0	0
Enterobacter	mdtB	3000793	0	0	0	0	1	0	0	0	0	0
Enterobacter	mdtC	3000794	0	0	0	0	1	0	0	1	0	0
Enterobacter	mdtH	3001216	0	0	0	0	1	0	0	0	0	0
Enterobacter	mecD	3004185	0	0	0	0	1	0	0	0	0	0
Enterobacter	msbA	3003950	0	0	0	0	1	0	0	0	0	0
Enterobacter	oqxA	3003922	0	0	0	0	1	0	0	0	0	0
Enterobacter	oqxB	3003923	0	0	0	0	1	0	0	0	0	0
Enterobacter	qnrE1	3004636	0	0	0	0	1	0	0	0	0	0
Enterobacter	ramA	3000823	0	0	0	0	1	0	0	0	0	0
Enterobacter	rpoB2	3000501	0	0	0	0	1	0	1	0	0	0
Enterobacter	rsmA	3005069	0	0	0	0	1	0	0	0	0	0
Enterobacter	sul4	3004361	0	0	0	0	1	0	0	0	0	0
Enterobacter	tet(M)	3000186	0	0	1	0	0	1	0	0	0	0
Enterobacter	tetB(P)	3000195	0	0	0	0	0	0	0	0	1	0
Escherichia	AcrF	3000502	0	0	0	0	0	1	0	0	0	0
Escherichia	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	0	0	0	0	1	0	0	0	0	0
Escherichia	Clostridioides difficile gyrB conferring resistance to fluoroquinolones	3004562	0	0	0	0	0	1	0	0	0	0
Escherichia	EC-15	3006876	0	0	0	0	0	1	0	0	0	0
Escherichia	Escherichia coli acrA	3004043	0	0	0	0	0	1	0	0	0	0
Escherichia	Escherichia coli mdfA	3001328	0	0	0	0	0	1	0	0	0	0
Escherichia	Klebsiella pneumoniae OmpK37	3004122	0	0	0	0	0	0	0	0	0	1
Escherichia	PmrF	3003578	0	0	0	0	0	1	0	0	0	0
Escherichia	TolC	3000237	0	0	0	0	0	1	1	0	0	0
Escherichia	YojI	3003952	0	0	0	0	0	1	0	0	0	0
Escherichia	acrB	3000216	0	0	0	0	0	1	0	0	0	0
Escherichia	acrD	3000491	0	0	0	0	0	1	0	0	0	0
Escherichia	bacA	3002986	0	0	0	0	1	1	0	0	0	0
Escherichia	baeS	3000829	0	0	0	0	0	1	1	0	0	0
Escherichia	cpxA	3000830	1	0	0	0	1	1	0	0	0	0
Escherichia	emrA	3000027	0	0	0	0	0	1	0	0	0	0
Escherichia	emrB	3000074	0	0	0	0	0	0	1	0	0	0
Escherichia	emrY	3000254	0	0	0	0	0	1	0	0	0	0
Escherichia	eptA	3003576	0	0	0	0	0	1	0	0	0	0
Escherichia	eptB	3005047	0	0	0	0	0	0	0	0	0	1
Escherichia	evgS	3000833	0	0	0	0	0	1	0	0	0	1
Escherichia	gadX	3000508	0	0	0	0	0	1	0	0	0	0
Escherichia	kdpE	3003841	0	0	0	0	0	1	0	0	0	0
Escherichia	mdtA	3000792	0	0	0	0	0	1	0	0	0	1
Escherichia	mdtB	3000793	0	0	0	0	0	1	0	0	0	0
Escherichia	mdtC	3000794	0	0	0	0	1	0	0	0	0	0
Escherichia	mdtE	3000795	0	0	0	0	0	1	0	0	0	0
Escherichia	mdtF	3000796	0	0	0	0	0	1	0	0	0	0
Escherichia	mdtH	3001216	0	0	0	0	0	1	0	0	0	0
Escherichia	mdtN	3003548	0	0	0	0	0	1	0	0	0	1
Escherichia	mdtO	3003549	0	0	0	0	0	1	0	0	0	1
Escherichia	mdtP	3003550	0	0	0	0	0	1	0	0	0	1
Escherichia	novA	3002522	0	0	0	0	0	0	1	0	0	0
Escherichia	rpoB2	3000501	0	0	0	0	1	1	0	0	0	0
Escherichia	sul4	3004361	0	0	0	0	0	1	0	0	0	0
Escherichia	tetR	3003479	0	0	0	0	0	1	0	0	0	0
Klebsiella	AcrF	3000502	0	1	0	0	0	0	1	0	0	0
Klebsiella	AcrS	3000656	0	0	0	0	0	0	1	0	0	0
Klebsiella	ArnT	3005053	0	0	0	1	0	0	1	0	0	0
Klebsiella	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	0	0	0	1	0	0	1	0	0	0
Klebsiella	CRP	3000518	0	0	0	1	0	0	1	0	0	0
Klebsiella	Clostridioides difficile gyrA conferring resistance to fluoroquinolones	3003995	0	0	0	1	0	0	0	0	0	0
Klebsiella	Clostridioides difficile gyrB conferring resistance to fluoroquinolones	3004562	0	0	0	1	0	0	1	0	0	0
Klebsiella	Enterobacter cloacae acrA	3004042	0	0	0	0	0	0	1	0	0	0
Klebsiella	Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to spectinomycin	3003376	0	0	0	0	0	1	0	0	0	0
Klebsiella	Escherichia coli 23S rRNA with mutation conferring resistance to erythromycin and telithromycin	3004131	0	0	0	0	0	1	0	0	0	0
Klebsiella	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	3003369	0	0	0	1	0	0	0	0	0	0
Klebsiella	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	3003890	0	0	0	1	0	0	1	0	0	0
Klebsiella	Escherichia coli acrR with mutation conferring multidrug antibiotic resistance	3003807	0	0	0	0	0	0	1	0	0	0
Klebsiella	Escherichia coli marR mutant conferring antibiotic resistance	3003378	0	0	0	1	0	0	1	0	0	0
Klebsiella	Escherichia coli parE conferring resistance to fluoroquinolones	3003316	0	0	0	0	1	0	1	0	0	0
Klebsiella	Escherichia coli soxS with mutation conferring antibiotic resistance	3003511	0	0	0	0	0	0	1	0	0	0
Klebsiella	FosA6	3004111	0	0	0	1	0	0	1	0	0	0
Klebsiella	FosA8	3007371	0	0	0	0	0	0	1	0	0	0
Klebsiella	H-NS	3000676	0	0	0	1	0	0	1	0	0	0
Klebsiella	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	3004446	0	0	0	1	0	0	1	0	0	0
Klebsiella	Klebsiella pneumoniae KpnE	3004580	0	0	0	1	0	0	1	0	0	0
Klebsiella	Klebsiella pneumoniae KpnF	3004583	0	0	0	1	0	0	1	0	0	0
Klebsiella	Klebsiella pneumoniae KpnG	3004588	0	0	0	1	0	0	1	0	0	0
Klebsiella	Klebsiella pneumoniae KpnH	3004597	0	0	0	1	0	0	1	0	0	0
Klebsiella	Klebsiella pneumoniae OmpK37	3004122	0	0	0	1	0	0	1	0	0	0
Klebsiella	Klebsiella pneumoniae acrA	3004041	0	0	0	1	0	0	1	0	0	0
Klebsiella	Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance	3003373	0	0	0	0	0	0	1	0	0	0
Klebsiella	LptD	3005059	0	0	0	1	0	0	1	0	0	0
Klebsiella	MexB	3000378	0	0	0	1	0	0	1	0	0	0
Klebsiella	MexT	3000814	0	0	0	0	0	0	1	0	0	0
Klebsiella	Morganella morganii gyrB conferring resistance to fluoroquinolones	3003306	0	0	0	1	0	0	0	0	0	0
Klebsiella	Mycobacterium tuberculosis gyrB mutant conferring resistance to fluoroquinolones	3003459	0	0	0	0	0	0	1	0	0	0
Klebsiella	Mycobacterium tuberculosis rpoB mutants conferring resistance to rifampicin	3003283	0	1	0	0	0	0	1	0	0	0
Klebsiella	OmpA	3005044	0	0	0	1	1	0	1	0	0	0
Klebsiella	Pseudomonas aeruginosa CpxR	3004054	0	0	0	1	1	0	0	0	0	0
Klebsiella	Staphylococcus aureus fusA with mutation conferring resistance to fusidic acid	3003735	0	0	0	0	1	0	0	0	0	0
Klebsiella	Streptomyces rimosus otr(A)	3002891	0	0	0	0	1	0	0	0	0	0
Klebsiella	YojI	3003952	0	1	0	1	1	0	0	0	0	0
Klebsiella	abeS	3000768	0	0	0	0	0	0	1	0	0	0
Klebsiella	acrB	3000216	0	0	0	1	0	0	1	0	0	0
Klebsiella	acrD	3000491	0	0	0	1	0	0	1	0	0	0
Klebsiella	bacA	3002986	0	0	0	1	0	0	1	0	0	0
Klebsiella	baeR	3000828	0	1	0	1	0	0	1	0	0	0
Klebsiella	baeS	3000829	0	0	0	0	0	0	1	0	0	0
Klebsiella	cpxA	3000830	0	1	0	1	1	0	1	0	0	0
Klebsiella	emrB	3000074	0	0	0	1	1	0	1	0	0	0
Klebsiella	emrR	3000516	0	0	0	1	0	0	1	0	0	0
Klebsiella	emrY	3000254	0	0	0	0	0	0	1	0	0	0
Klebsiella	eptB	3005047	0	0	0	1	0	0	1	0	0	0
Klebsiella	fosA5	3003209	0	0	0	1	0	0	1	0	0	0
Klebsiella	kdpE	3003841	0	0	0	1	0	0	1	0	0	0
Klebsiella	leuO	3003843	0	0	0	1	0	0	1	0	0	0
Klebsiella	macB	3000535	0	0	0	0	0	0	1	0	0	0
Klebsiella	marA	3000263	0	0	0	1	0	0	1	0	0	0
Klebsiella	mdtB	3000793	0	1	0	1	1	0	1	0	0	0
Klebsiella	mdtC	3000794	0	1	0	1	0	0	1	0	0	0
Klebsiella	mdtH	3001216	0	0	0	0	0	0	1	0	0	0
Klebsiella	msbA	3003950	0	0	0	1	0	0	1	0	0	0
Klebsiella	oqxA	3003922	0	0	0	1	0	0	1	0	0	0
Klebsiella	oqxB	3003923	0	0	0	1	0	0	1	0	0	0
Klebsiella	qacJ	3007014	0	0	0	0	0	0	1	0	0	0
Klebsiella	ramA	3000823	0	0	0	0	0	0	1	0	0	0
Klebsiella	rphB	3003992	0	0	0	1	1	0	1	0	0	0
Klebsiella	rpoB2	3000501	0	1	0	0	0	0	1	0	0	0
Klebsiella	sdiA	3000826	0	0	0	0	0	0	1	0	0	0
Klebsiella	sul4	3004361	0	0	0	1	0	0	0	0	0	0
Klebsiella	tet(O/W)	3007121	0	0	0	0	0	0	1	0	0	0
Klebsiella	tet(T)	3000193	0	0	0	0	1	0	0	0	0	0
Klebsiella	tet(W)	3000194	0	0	0	0	1	0	0	0	0	0
Klebsiella	tetB(P)	3000195	0	0	0	1	1	0	1	0	0	0
Klebsiella	vanR gene in vanI cluster	3003728	0	0	0	0	0	0	1	0	0	0
